CustomerID,Sum_Quantity,Mean_UnitPrice,Mean_TotalPrice,Sum_TotalPrice,Count_Invoice,Count_Stock,Mean_InvoiceCountPerStock,Mean_StockCountPerInvoice,Mean_UnitPriceMeanPerInvoice,Mean_QuantitySumPerInvoice,Mean_TotalPriceMeanPerInvoice,Mean_TotalPriceSumPerInvoice,Mean_UnitPriceMeanPerStock,Mean_QuantitySumPerStock,Mean_TotalPriceMeanPerStock,Mean_TotalPriceSumPerStock,Cluster_4,Cluster
000nan,405650.0,6.248856057246831,13.125414978364244,1716830.5299999998,1373.0,3401.0,38.45986474566304,95.26729788783685,34.40112525436999,295.4479242534596,41.00537307141321,1250.4228186453022,10.903396742242007,119.27374301675978,14.84171428909815,504.8016847985887,1,1
012346,74215.0,1.04,77183.6,77183.6,1.0,1.0,1.0,1.0,1.04,74215.0,77183.6,77183.6,1.04,74215.0,77183.6,77183.6,3,3
012747,1275.0,4.367864077669903,40.73796116504854,4196.009999999999,11.0,42.0,2.452380952380953,9.363636363636363,4.253948871835235,115.9090909090909,43.64545274170275,381.4554545454546,4.844583333333334,30.357142857142858,27.98369047619047,99.905,1,1
012748,25747.0,2.6562785636561475,7.338352557127313,33719.73,209.0,1768.0,2.598981900452489,21.985645933014357,8.916505612334795,123.19138755980862,16.378101116457795,161.3384210526316,2.7264091590598944,14.562782805429864,8.176555582968126,19.072245475113125,1,1
012749,1471.0,4.999949748743718,20.55718592964824,4090.88,5.0,160.0,1.24375,39.8,5.095432979810887,294.2,21.87151061099753,818.176,4.7855625,9.19375,20.025447916666668,25.568,1,1
012820,722.0,1.9047457627118645,15.97186440677966,942.34,4.0,55.0,1.0727272727272728,14.75,1.902632575757576,180.5,16.05149621212121,235.585,1.8087272727272727,13.127272727272729,15.81618181818182,17.133454545454548,3,3
012821,70.0,2.498333333333333,15.453333333333331,92.72,1.0,6.0,1.0,6.0,2.498333333333333,70.0,15.453333333333331,92.72,2.498333333333333,11.666666666666666,15.453333333333331,15.453333333333331,0,0
012822,550.0,2.692608695652173,20.627826086956528,948.8800000000002,2.0,41.0,1.1219512195121952,23.0,2.6214114114114118,275.0,23.668708708708703,474.44,2.61,13.414634146341465,19.514146341463416,23.143414634146342,1,1
012823,230.0,7.65,351.9,1759.5,5.0,1.0,5.0,1.0,7.65,46.0,351.9,351.9,7.65,230.0,351.9,1759.5,0,0
012824,232.0,2.5356,15.884799999999998,397.12,1.0,25.0,1.0,25.0,2.5356,232.0,15.8848,397.12,2.5356,9.28,15.8848,15.8848,3,3
012826,1058.0,1.9276923076923085,16.205714285714286,1474.72,7.0,58.0,1.5689655172413792,13.0,2.05030228501657,151.14285714285714,16.943735827664398,210.67428571428567,1.6483333333333334,18.24137931034483,15.294597701149426,25.42620689655172,1,1
012827,197.0,2.8680000000000003,17.206,430.15,3.0,19.0,1.3157894736842106,8.333333333333334,2.9933333333333336,65.66666666666667,18.99888888888889,143.38333333333333,2.621052631578947,10.36842105263158,15.581578947368422,22.63947368421053,0,0
012828,494.0,3.0900000000000003,18.19125,1018.71,6.0,46.0,1.2173913043478262,9.333333333333334,3.029752136752137,82.33333333333333,17.881902421652423,169.785,3.203043478260869,10.73913043478261,18.17539855072464,22.145869565217392,1,1
012829,376.0,10.368181818181816,26.63636363636364,293.0,2.0,9.0,1.2222222222222223,5.5,10.275,188.0,25.84583333333333,146.5,12.627777777777778,41.77777777777778,28.55555555555556,32.55555555555556,0,0
012830,9848.0,1.086315789473684,179.3326315789474,6814.640000000001,6.0,13.0,2.923076923076923,6.333333333333333,1.0550655270655271,1641.3333333333333,247.28601709401715,1135.7733333333333,1.1457692307692309,757.5384615384615,195.8430769230769,524.203076923077,1,1
012831,135.0,3.0666666666666664,23.89444444444445,215.05,1.0,9.0,1.0,9.0,3.066666666666667,135.0,23.89444444444445,215.05,3.066666666666667,15.0,23.89444444444445,23.89444444444445,0,0
012832,195.0,2.9288888888888893,14.186296296296298,383.03,2.0,27.0,1.0,13.5,2.785,97.5,13.840555555555556,191.515,2.928888888888889,7.222222222222222,14.186296296296298,14.186296296296298,0,0
012833,156.0,5.441249999999999,17.390833333333333,417.38,1.0,24.0,1.0,24.0,5.44125,156.0,17.390833333333333,417.38,5.44125,6.5,17.390833333333333,17.390833333333333,0,0
012834,110.0,4.893888888888889,17.354444444444443,312.38,1.0,18.0,1.0,18.0,4.893888888888889,110.0,17.354444444444443,312.38,4.893888888888888,6.111111111111111,17.354444444444443,17.354444444444443,0,0
012836,1064.0,4.28782857142857,14.930628571428567,2612.86,4.0,148.0,1.1824324324324325,43.75,4.500354445822994,266.0,15.913541801075269,653.215,4.048963963963964,7.1891891891891895,13.49913288288288,17.65445945945946,1,1
012837,24.0,6.745833333333335,11.175,134.1,1.0,12.0,1.0,12.0,6.745833333333334,24.0,11.175,134.1,6.745833333333334,2.0,11.175000000000002,11.175000000000002,0,0
012838,359.0,2.3197560975609752,5.55390243902439,683.13,2.0,115.0,1.0695652173913044,61.5,2.306226165254237,179.5,5.5956859110169495,341.56500000000005,2.3172173913043475,3.121739130434783,5.585507246376811,5.9402608695652175,2,2
012839,3807.0,1.9202229299363056,17.80707006369427,5591.42,14.0,95.0,3.305263157894737,22.428571428571427,1.934214786172083,271.92857142857144,17.685736572699547,399.38714285714286,2.5434887218045112,40.07368421052632,17.664889695392326,58.85705263157896,1,1
012840,1511.0,2.0354867256637164,24.13070796460177,2726.77,4.0,67.0,1.6865671641791045,28.25,2.006084601449276,377.75,27.02184456521739,681.6925,2.1092537313432835,22.55223880597015,20.869701492537317,40.69805970149254,1,1
012841,2757.0,2.395166666666667,9.577023809523808,4022.35,25.0,229.0,1.834061135371179,16.8,2.4393612663324173,110.28,10.144610750169123,160.894,2.399723435225619,12.039301310043667,7.576336343787218,17.564847161572054,1,1
012842,547.0,4.330294117647058,32.9114705882353,1118.99,2.0,34.0,1.0,17.0,4.8035,273.5,31.304,559.495,4.33029411764706,16.08823529411765,32.91147058823529,32.91147058823529,1,1
012843,781.0,3.5132038834951445,16.52679611650486,1702.2600000000002,8.0,69.0,1.4927536231884058,12.875,3.932135348045674,97.625,17.963096453667106,212.7825,3.477391304347826,11.318840579710145,14.525127674258108,24.67043478260869,1,1
012844,125.0,2.631153846153846,6.268461538461538,325.96,2.0,47.0,1.1063829787234043,26.0,2.653095238095238,62.5,6.270357142857144,162.98000000000002,2.669574468085107,2.6595744680851063,5.997021276595744,6.93531914893617,2,2
012845,204.0,2.79037037037037,13.114444444444446,354.09000000000003,4.0,26.0,1.0384615384615383,6.75,2.081130952380952,51.0,71.76863095238096,88.5225,2.8169230769230773,7.846153846153846,12.165,13.618846153846157,0,0
012847,909.0,1.3392307692307692,9.577362637362636,871.54,1.0,72.0,1.2638888888888888,91.0,1.3392307692307692,909.0,9.577362637362636,871.54,1.455833333333333,12.625,10.648680555555554,12.104722222222222,2,2
012849,623.0,2.894509803921568,20.6056862745098,1050.89,2.0,47.0,1.0851063829787233,25.5,3.32175,311.5,21.331055555555555,525.4449999999999,2.959787234042553,13.25531914893617,21.307872340425536,22.359361702127668,1,1
012851,109.0,1.9466000000000003,2.7036,135.18,1.0,43.0,1.162790697674419,50.0,1.9466,109.0,2.7036,135.18,2.142093023255814,2.5348837209302326,2.967558139534884,3.143720930232558,2,2
012852,149.0,3.65,18.326470588235296,311.55,1.0,17.0,1.0,17.0,3.65,149.0,18.326470588235296,311.55,3.65,8.764705882352942,18.326470588235296,18.326470588235296,0,0
